# Size, Precision_mean, Recall_mean, Fscore_mean, Precision_std, Recall_std, Fscore_std
1000.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1055.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1111.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1166.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1222.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1277.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1333.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1388.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1444.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
1500.000000,0.250000,0.250000,0.250000,0.000000,0.000000,0.000000
